model_name,organization,parameters_b,average_score,benchmark_ifeval,benchmark_bbh,benchmark_math_lvl5,benchmark_gpqa,benchmark_musr,benchmark_mmlu_pro,license,release_date,co2_cost_kg,model_type
EpistemeAI2/Fireball-Alpaca-Llama3.1.03-8B-Philos,EpistemeAI2,8.0,20.274573357917856,38.808140179169044,27.99254879661235,12.83987915407855,3.8031319910514525,12.034635416666667,26.16910460992908,apache-2.0,2024-09-04,1.5950461475759945,🔶 fine-tuned on domain-specific datasets
EpistemeAI2/Fireball-Alpaca-Llama3.1.04-8B-Philos,EpistemeAI2,8.0,21.094517497325704,40.84396069096664,27.963797525362725,12.009063444108762,5.369127516778524,13.685677083333337,26.695478723404253,apache-2.0,2024-09-05,1.5304958366458974,🔶 fine-tuned on domain-specific datasets
EpistemeAI2/Fireball-Alpaca-Llama3.1.06-8B-Philos-dpo,EpistemeAI2,8.0,21.867631752899076,48.657561935664035,27.207176615070413,13.066465256797583,6.375838926174497,6.848437499999999,29.050310283687946,apache-2.0,2024-09-09,1.8695479199902147,"💬 chat models (RLHF, DPO, IFT, ...)"
EpistemeAI2/Fireball-Alpaca-Llama3.1.07-8B-Philos-Math,EpistemeAI2,8.0,21.97087003498899,50.79079065767719,26.901201452028392,12.009063444108762,6.152125279642054,7.854427083333334,28.117612293144205,apache-2.0,2024-09-10,1.8040592656869943,🔶 fine-tuned on domain-specific datasets
EpistemeAI2/Fireball-Alpaca-Llama3.1.08-8B-C-R1-KTO-Reflection,EpistemeAI2,8.0,20.894624934810878,39.52257787115964,27.571611204577167,12.462235649546828,6.599552572706939,10.4015625,28.8102098108747,apache-2.0,2024-09-16,1.7679480184248195,"💬 chat models (RLHF, DPO, IFT, ...)"
EpistemeAI2/Fireball-Alpaca-Llama3.1.08-8B-Philos-C-R1,EpistemeAI2,8.0,22.511188245481957,53.16382753316755,26.76368521382555,12.386706948640484,6.263982102908276,8.454427083333332,28.034500591016542,apache-2.0,2024-09-13,1.8195181295523026,🔶 fine-tuned on domain-specific datasets
EpistemeAI2/Fireball-Llama-3.1-8B-Philos-Reflection,EpistemeAI2,8.0,20.37672090429901,35.96047376516532,27.76979570236311,12.83987915407855,7.718120805369126,9.632812500000002,28.33924349881796,apache-2.0,2024-09-17,1.78988673075239,🔶 fine-tuned on domain-specific datasets
EpistemeAI2/Fireball-MathMistral-Nemo-Base-2407-v2dpo,EpistemeAI2,11.58,11.369982746356044,30.972043067948597,21.145528378150857,3.7009063444108756,1.7897091722595053,8.96979166666667,1.6419178486997636,apache-2.0,2024-08-21,3.762851272980899,"💬 chat models (RLHF, DPO, IFT, ...)"
EpistemeAI2/Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.003-128K-code-math,EpistemeAI2,8.0,22.727957302291042,55.15465631191904,26.743767165585172,13.51963746223565,7.270693512304249,6.789583333333333,26.889406028368796,apache-2.0,2024-10-11,1.5833654691318217,🔶 fine-tuned on domain-specific datasets
EpistemeAI2/Fireball-Meta-Llama-3.1-8B-Instruct-Agent-0.005-128K-code-COT,EpistemeAI2,8.0,21.037758831912942,46.331954768902065,26.400991557555106,11.706948640483382,8.277404921700223,5.013020833333332,28.496232269503547,apache-2.0,2024-10-11,1.6016352294968985,🔶 fine-tuned on domain-specific datasets
